English	utf-8
XMLI_MSG	Do not change the URL
XMLI_MSG_PROSPS_WERE_ADDED	prospects were added and are
XMLI_MSG_PROSPS_WERE_UPD	updated in the database
XMLI_MSG_TOTAL_ELMS	Total elements in XML file
XMLI_ERR_ELEMENT	Element
XMLI_ERR_ELEMENT_EMAIL	email
XMLI_ERR_ELEMENT_EMAIL_INCORR	is incorrect.
XMLI_ERR_ELEMENT_EMAIL_ALR_EX	already exists and was updated.
XMLI_ERR_ELEMENT_EMAIL_WAS_NOT_ADDED_SQL	was not added to the database (SQL error).
#########################	
#file xmlexport.cgi	
#########################
XMLE_PAGE_FUMP_DIR	In FUMP directory
XMLE_PAGE_INTO_BRO	In browser
XMLE_PAGE_SAVE_AS_FILE	Save as file
XMLE_PAGE_ENC_DEF	<default>
XMLE_FIELDS_REG_DATE	Registration date
XMLE_FIELDS_EMAIL	Email
XMLE_FIELDS_NAME	Name
____STARTTEXTS____
[T_SENDING_TIPS]	
	<h2>Setting bounce headers tips. </h2>
                    <p>If you are going to process bounced messages you can define 
                      bounce send options there.</p>
                    <p>&nbsp;</p>
                    <p><font color="#FF0000"><strong>Attention!</strong></font> 
                      Bounced messages can be returned with default settings.
                      You need to define or check the bounce options if you cannot find bounced 
                      messages in your mailboxes. Alternatively specify a separate mailbox which 
                      must be different from your “From” or “Reply-To” addresses.</p>
                    <p>Usually all bounced messages should be returned to the email in the 
                      Return-path header in your messages. There are a few ways 
                      to accomplish this.</p>
                    <p><strong><u>SMTP</u></strong></p>
                    <p>If you are using SMTP to send your messages you can specify 
                      a different email address from your 'From' or 'Reply-To' headers. 
                      You need to check 'Email address to receive bounced emails' 
                      checkbox and specify the email address. <br>
                      <br>
                      <strong><u>Setup using the Sendmail Command</u></strong></p>
                    <p>The result might not be optimal, but there are good alternatives: </p>
                    <p><br>
                      <strong><em>Technique 1:</em></strong> The -f flag</p>
                    <p>You need to check 'Use sendmail -f flag' and specify email 
                      address there</p>
                    <p>This should set the Return-Path header.</p>
                    <p>&nbsp;</p>
                    <p><em><strong>Technique 2: </strong></em>Return-Path header</p>
                    <p>If that doesn't work, you can try to set the Return-Path 
                      header explicitly. This is not the best way by any means, 
                      but Qmail allows you to do this.</p>
                    <p>&nbsp;</p>
                    <p><strong>Technique 3: </strong>”Errors-To” header</p>
                    <p>The “Errors-To” header seems to have been created just for 
                      this task, but it's actually a deprecated header. Use it
                      with caution. For it to do anything, you need to configure 
                      Sendmail to actually see the “Errors-To” header. If the previous
                      techniques fail you can try to specify the “Errors-To” header.</p>
                    <p>&nbsp;</p>
                    <p>To test any of these configurations, send yourself 
                      a test message and view the source of the message itself 
                      in your mail reader. In the mail headers you should see 
                      the Return-Path header like:</p>
                    <blockquote>
                      <p><code>Return-Path: &lt;johndoe@domain.net&gt;<br>
                        Delivered-To: support@domain.net<br>
                        Content-Disposition: inline<br>
                        Content-Transfer-Encoding: binary<br>
                        Content-Type: text/plain<br>
                        MIME-Version: 1.0<br>
                        X-Mailer: MIME::Lite 2.117 (F2.71)<br>
                        Date: Tue, 14 Jun 2008 15:26:41 UT<br>
                        From: FUMP Registration &lt;johndoe@domain.net&gt;<br>
                        To: John Doe &lt;johndoe@domain.net&gt;<br>
                        Subject: User someone@yahoo.com registered at the Newsletter 
                        account </code></p>
                    </blockquote>
[/T_SENDING_TIPS]
[T_BOUNCE_HELP]
<p>Edit your bounce POP3 accounts to collect 
                    bounced messages and define rules/actions with prospects (remove 
                    or inactivate prospects):<br>
                    <br>
                    <strong>POP3 server</strong> - your POP3 server to collect 
                    messages</p>
                  <p><strong>POP3 port</strong> - default POP3 port is 110</p>
                  <p><strong>POP3 user</strong> - username to access to mailbox</p>
                  <p><strong>POP3 password</strong> - password to access to mailbox<br>
                  </p>
                  <p><strong>Remove&nbsp;prospects&nbsp;after</strong>:<br>
                    - <strong>Hard bounces:</strong> This is the number of hard bounced 
                    messages before prospects will be removed or deactivated (Hard 
                    bounces are permanent errors like host or user not found, 
                    spam reject. It means that your message will definitely not be delivered 
                    to the recipient). By default prospects will be removed/deactivated 
                    after 1 hard bounced message, but you can change this setting.</p>
                  <p>- <strong>Soft bounces:</strong> This is the number of soft bounced messages 
                    before prospects will be removed or deactivated (Soft bounces 
                    are temporary errors like user mailbox full etc.) 
                    By default prospects will be removed/deactivated after 
                    3 soft bounced message, but you can change this setting.</p>
                  <p><strong><br>
                    Actions: </strong></p>
                  <p>- <strong>Remove prospect from database:</strong> your prospect 
                    will be removed from database.</p>
                  <p>- <strong>Set status to inactive:</strong> your prospect 
                    will be deactivated.</p>
                  <p>- <strong>Add bounced emails to the blacklist database:</strong> 
                    you can set this option to automatically add prospects to 
                    the blacklist when they are removed or deactivated.</p>
[/T_BOUNCE_HELP]
[T_ACCOUNT_OPTIONS_SUBSCRIBE]

			  You can also add subscribers 
                          by having them click on an e-mail link. <br>
                          Just create a new e-mail address for your domain or 
                          any pop3 e-mail account. <br>
                          Then enter the settings below. <br>
                          This is especially useful if you want to avoid the possibility 
                          of someone entering a<br>
                          false name and e-mail address because it will collect 
                          their information directly from their email client. 
                          <br>
                          See README.TXT file for more information.
[/T_ACCOUNT_OPTIONS_SUBSCRIBE]
[T_ACCOUNT_OPTIONS_SUBSCRIBE2]
			<u>Allow subscribing by sending a
                          blank email:</u> Checkmark this box if you wish to allow 
                          people to subscribe<br>
                          to your mailing list by clicking on an e-mail link or 
                          by sending a blank email.<br> <br> <u>POP3 server:</u> 
                          The incoming mail server for your POP3 account. Your 
                          POP3 e-mail account provider<br>
                          should have provided this information to you.<br> <br> 
                          <u>POP3 username:</u> Your username for accessing your 
                          POP3 account.<br> <br> <u>POP3 password:</u> Your password 
                          for accessing your POP3 account.<br> <br> <u>POP3 server 
                          port:</u> On most servers 110. But if you are getting an 
                          error, ask your server administrator. 
[/T_ACCOUNT_OPTIONS_SUBSCRIBE2]
[T_ACCOUNT_OPTIONS_BLACKLIST]
		    <p><u>Ban list:</u> You can add email addresses or hosts which 
                      you want to ban like <b>&quot;spam@yahoo.com&quot;</b> or 
                      <b>&quot;hotmail.com&quot;</b>.</p>
                    <p>&nbsp;</p>
                    <p><u>Custom error message:</u> This is the message prospects 
                      see at registration if their email address is banned.<br>
                    </p>
[/T_ACCOUNT_OPTIONS_BLACKLIST]
[T_MESSEDIT_PERSONALIZE]
			<h2>Personalizing your messages</h2><br>
			<P>To add the unsubscribe link, place the tag <strong>[UNSUBSCRIBE_LINK]</strong> 
                    anywhere in your message (in HTML messages you can add the link tag
					&lt;a href=&quot;<strong>[UNSUBSCRIBE_LINK]</strong>&quot;&gt;Click 
                    here to unsubscribe&lt;/a&gt;).
                  <P>&nbsp;
                  <p>There are four pre-set merge field words you may use in the 
                    Body or Subject line to personalize your messages.</p>
                  <ul>
                    <li><b>[FIRSTNAME]</b> will extract and print your prospect's 
                      first name (i.e. 'Hi <b>[FIRSTNAME]</b>' will print 'Hi 
                      John!', if your prospect's first name is <i>John</i>).</li>
                    <li><b>[FULLNAME]</b> will extract and print your prospect's 
                      first and last name (i.e. 'Mr. <b>[FULLNAME]</b>,' will print 'Mr. 
                      John Doe', if your prospect's name is <i>John Doe</i>).</li>
                    <li><b>[EMAIL]</b> will extract and print your prospect's 
                      email address (i.e. 'Your e-mail address is <b>[EMAIL]</b>' 
                      will output 'Your e-mail address is john@aol.com', if your 
                      prospect's e-mail address is <i>john@aol.com</i>. <br>
                      <b>[DATE]</b> will print current date  </li>
                    <li><b>[DATE+32d] [DATE-32d] [DATE+1m] [DATE-1m] [DATE+1y] 
                      [DATE-1y] </b>will print the corrected current date. </li>
                    <li><b>[IP]</b> will extract and print your prospect's IP 
                      address if subscribed via HTML form, or empty value</li>
                    <!--Please do not remove or translate this tag-->
		    {additional}
		    <!--Please do not remove or translate this tag-->
		    </ul>
[/T_MESSEDIT_PERSONALIZE]
[T_BULK_REM_HELP]
		<p>You can remove prospects from this account by pasting their email <br>
		into the text box below and clicking "remove prospects". </p>
		<p>&nbsp;</p>
		<p>Enter one email per row. You can also use a mask. For example if you <br>
		type "hotmail" in the text box this will remove all emails that contain 
		<br>
		"hotmail" in any part of the email address. <br>
		<br>
		i.e. hotmail@aol.com, mike@hotmail.com, myhotmail@email.com - will all 
		be removed from the list</p>
[/T_BULK_REM_HELP]
[T_IMPORT_HELP]
	<p>Add new contacts to your "current prospect" list and run <br>
	them through your entire message set. You can either paste them into <br>
	the "Insert text" box below or upload them in a text file using the format 
	below: <br>
	<br>
	<i>John Smith|his@email.com</i><br>
	or:<br>
	<i>his@email.com</i><br>
	or:<br>
	<i>&lt;his@email.com&gt; </i><br>
	or:<br>
	<i>John Smith &lt;his@email.com&gt; </i><br>
	or:<br>
	<i>“John Smith” his@email.com</i><br>
	or:<br>
	<i>John Smith his@email.com</i><br>
	<br>
	Enter one contact per row. When ready, click the “Import Prospects” button.</p>
[/T_IMPORT_HELP]
[T_DOI_MESS]
To confirm your subscription, click on the link below:

[CONFIRM_URL]

If you did not make the request, there is no need
to take any further action.
[/T_DOI_MESS]
[T_ATTANTIONFILES1]
<hr size="4" noshade>
<H1 class="mess">Warning!</H1>
These files still exist on the server:
<UL>
[/T_ATTANTIONFILES1]
[T_ATTANTIONFILES2]
</UL><h2>Please remove them from the server after installation</H2><hr size="4" noshade>
[/T_ATTANTIONFILES2]
